Family,LowestID,LowestIDNC,SiteCode,Date,Sample,H
Hydrophilidae,Hydrophilus sp.,QC111899,NWS006,10/05/2018,B,1
Hydrophilidae,Hydrophilus sp.,QC111899,NWS006,10/05/2018,P,1
Dytiscidae,Hydrovatus fasciatus,QC090306,NWS003,9/05/2018,B,1
Dytiscidae,Hydrovatus fasciatus,QC090306,NWS004,9/05/2018,B,1
Dytiscidae,Hydrovatus fasciatus,QC090306,NWS004,9/05/2018,P,1
Dytiscidae,Hydrovatus rufoniger politus,QC090309,NWS002,8/05/2018,B,1
Dytiscidae,Hydrovatus rufoniger politus,QC090309,NWS003,9/05/2018,B,1
Dytiscidae,Hyphydrus lyratus,QC090402,NWS002,8/05/2018,B,1
Dytiscidae,Hyphydrus lyratus,QC090402,NWS003,9/05/2018,B,1
Dytiscidae,Hyphydrus lyratus,QC090402,NWS005,10/05/2018,B,1
Coenagrionidae,Ischnura aurora aurora,QO021001,NWS001,8/05/2018,B,1
Coenagrionidae,Ischnura aurora aurora,QO021001,NWS002,8/05/2018,B,1
Coenagrionidae,Ischnura aurora aurora,QO021001,NWS003,9/05/2018,P,1
Coenagrionidae,Ischnura aurora aurora,QO021001,NWS004,9/05/2018,B,1
Coenagrionidae,Ischnura aurora aurora,QO021001,NWS004,9/05/2018,P,1
Coenagrionidae,Ischnura aurora aurora,QO021001,NWS005,10/05/2018,B,1
Coenagrionidae,Ischnura aurora aurora,QO021001,NWS006,10/05/2018,P,1
Coenagrionidae,Ischnura aurora aurora,QO021001,NWS006,10/05/2018,B,1
Coenagrionidae,Ischnura heterosticta heterosticta,QO021002,NWS001,8/05/2018,B,1
Coenagrionidae,Ischnura heterosticta heterosticta,QO021002,NWS002,8/05/2018,B,1
Coenagrionidae,Ischnura heterosticta heterosticta,QO021002,NWS003,9/05/2018,B,1
Coenagrionidae,Ischnura heterosticta heterosticta,QO021002,NWS004,9/05/2018,P,1
Coenagrionidae,Ischnura heterosticta heterosticta,QO021002,NWS004,9/05/2018,B,1
Coenagrionidae,Ischnura sp.,QO021099,NWS001,8/05/2018,P,1
Chydoridae,Karualona karua,OG033201,NWS005,10/05/2018,P,1
Chironomidae,Kiefferulus intertinctus,QDAI0701,NWS002,8/05/2018,B,1
Chironomidae,Kiefferulus intertinctus,QDAI0701,NWS003,9/05/2018,B,1
Chironomidae,Kiefferulus intertinctus,QDAI0701,NWS003,9/05/2018,P,1
Chironomidae,Kiefferulus intertinctus,QDAI0701,NWS004,9/05/2018,B,1
Chironomidae,Kiefferulus intertinctus,QDAI0701,NWS005,10/05/2018,B,1
Chydoridae,Kurzia longirostris,OG031602,NWS005,10/05/2018,P,1
Dytiscidae,Laccophilus clarki,QC090105,NWS002,8/05/2018,B,1
Dytiscidae,Laccophilus clarki,QC090105,NWS003,9/05/2018,B,1
Dytiscidae,Laccophilus clarki,QC090105,NWS004,9/05/2018,B,1
Dytiscidae,Laccophilus clarki,QC090105,NWS006,10/05/2018,B,1
Dytiscidae,Laccophilus sharpi,QC090101,NWS002,8/05/2018,B,1
Dytiscidae,Laccophilus sharpi,QC090101,NWS003,9/05/2018,B,1
Dytiscidae,Laccophilus sharpi,QC090101,NWS004,9/05/2018,B,1
Dytiscidae,Laccophilus sharpi,QC090101,NWS006,10/05/2018,B,1
Sididae,Latonopsis australis,OG010202,NWS005,10/05/2018,P,1
Lecanidae,Lecane bulla,JP090110,NWS002,8/05/2018,P,1
Lecanidae,Lecane bulla,JP090110,NWS003,9/05/2018,P,1
Lecanidae,Lecane bulla,JP090110,NWS004,9/05/2018,P,1
Lecanidae,Lecane bulla,JP090110,NWS005,10/05/2018,P,1
Lecanidae,Lecane bulla,JP090110,NWS006,10/05/2018,P,1
Lecanidae,Lecane clara,JP090111,NWS004,9/05/2018,P,1
Lecanidae,Lecane grandis,JP090127,NWS005,10/05/2018,P,1
Lecanidae,Lecane hamata,JP090129,NWS006,10/05/2018,P,1
Lecanidae,Lecane luna,JP090137,NWS003,9/05/2018,P,1
Lecanidae,Lecane luna,JP090137,NWS005,10/05/2018,P,1
Lecanidae,Lecane plesia,JP090195,NWS001,8/05/2018,B,1
Lecanidae,Lecane sp. A (NWS),JP0901G2,NWS003,9/05/2018,P,1
Lecanidae,Lecane sp. A (NWS),JP0901G2,NWS006,10/05/2018,P,1
Lecanidae,Lecane sp. B (NWS),JP0901G3,NWS006,10/05/2018,P,1
Lecanidae,Lecane ungulata,JP090172,NWS001,8/05/2018,B,1
Lecanidae,Lecane ungulata,JP090172,NWS006,10/05/2018,P,1
Lepadellidae,Lepadella oblonga,JP030223,NWS001,8/05/2018,B,1
Lepadellidae,Lepadella oblonga,JP030223,NWS004,9/05/2018,P,1
Lepadellidae,Lepadella oblonga,JP030223,NWS005,10/05/2018,P,1
Lepadellidae,Lepadella oblonga,JP030223,NWS006,10/05/2018,P,1
Lepadellidae,Lepadella patella,JP030224,NWS006,10/05/2018,P,1
Lepadellidae,Lepadella rhomboides,JP030230,NWS003,9/05/2018,P,1
Lepadellidae,Lepadella rhomboides,JP030230,NWS004,9/05/2018,P,1
Lepadellidae,Lepadella rhomboides,JP030230,NWS006,10/05/2018,P,1
Libellulidae,Libellulidae,QO179999,NWS003,9/05/2018,B,1
Dytiscidae,Limbodessus compactus,QC091001,NWS006,10/05/2018,B,1
Dytiscidae,Limbodessus sp.,QC091099,NWS004,9/05/2018,B,1
Dytiscidae,Limbodessus sp.,QC091099,NWS005,10/05/2018,B,1
Dytiscidae,Limbodessus sp.,QC091099,NWS006,10/05/2018,P,1
Limnichidae,Limnichidae,QC359999,NWS003,9/05/2018,B,1
Gerridae,Limnogonus fossarum gilguy,QH570301,NWS002,8/05/2018,B,1
Gerridae,Limnogonus fossarum gilguy,QH570301,NWS003,9/05/2018,B,1
Gerridae,Limnogonus sp.,QH570399,NWS003,9/05/2018,P,1
Gerridae,Limnogonus sp.,QH570399,NWS004,9/05/2018,B,1
Mytilinidae,Lophocharis oxysternon,JP120202,NWS005,10/05/2018,P,1
Dytiscidae,Megaporus ruficeps,QC092105,NWS005,10/05/2018,B,1
Cyclopidae,Mesocyclops brooksi,OJ310703,NWS001,8/05/2018,B,1
Cyclopidae,Mesocyclops brooksi,OJ310703,NWS002,8/05/2018,B,1
Cyclopidae,Mesocyclops brooksi,OJ310703,NWS002,8/05/2018,P,1
Cyclopidae,Mesocyclops brooksi,OJ310703,NWS003,9/05/2018,P,1
Cyclopidae,Mesocyclops brooksi,OJ310703,NWS003,9/05/2018,B,1
Cyclopidae,Mesocyclops brooksi,OJ310703,NWS004,9/05/2018,P,1
Cyclopidae,Mesocyclops brooksi,OJ310703,NWS004,9/05/2018,B,1
Cyclopidae,Mesocyclops brooksi,OJ310703,NWS005,10/05/2018,B,1
Cyclopidae,Mesocyclops brooksi,OJ310703,NWS005,10/05/2018,P,1
Cyclopidae,Mesocyclops brooksi,OJ310703,NWS006,10/05/2018,P,1
Cyclopidae,Mesocyclops brooksi,OJ310703,NWS006,10/05/2018,B,1
-,Mesostigmata,MM9999A2,NWS004,9/05/2018,B,1
-,Mesostigmata,MM9999A2,NWS006,10/05/2018,B,1
Mesoveliidae,Mesovelia sp.,QH520199,NWS001,8/05/2018,P,1
Mesoveliidae,Mesovelia sp.,QH520199,NWS004,9/05/2018,P,1
Mesoveliidae,Mesovelia sp.,QH520199,NWS006,10/05/2018,P,1
Mesoveliidae,Mesovelia vittigera,QH520102,NWS001,8/05/2018,B,1
Mesoveliidae,Mesovelia vittigera,QH520102,NWS002,8/05/2018,B,1
Mesoveliidae,Mesovelia vittigera,QH520102,NWS003,9/05/2018,P,1
Mesoveliidae,Mesovelia vittigera,QH520102,NWS004,9/05/2018,B,1
Mesoveliidae,Mesovelia vittigera,QH520102,NWS005,10/05/2018,B,1
Mesoveliidae,Mesovelia vittigera,QH520102,NWS006,10/05/2018,B,1
Cyclopidae,Microcyclops varicans,OJ310101,NWS005,10/05/2018,B,1
Corixidae,Micronecta paragoga (ex sp. P3),QH6505A4,NWS002,8/05/2018,B,1
Corixidae,Micronecta paragoga (ex sp. P3),QH6505A4,NWS003,9/05/2018,B,1
Corixidae,Micronecta paragoga (ex sp. P3),QH6505A4,NWS004,9/05/2018,B,1
Corixidae,Micronecta virgata,QH650516,NWS001,8/05/2018,B,1
Corixidae,Micronecta virgata,QH650516,NWS001,8/05/2018,P,1
Corixidae,Micronecta virgata,QH650516,NWS002,8/05/2018,B,1
Corixidae,Micronecta virgata,QH650516,NWS003,9/05/2018,P,1
Corixidae,Micronecta virgata,QH650516,NWS003,9/05/2018,B,1
Corixidae,Micronecta virgata,QH650516,NWS004,9/05/2018,B,1
Corixidae,Micronecta virgata,QH650516,NWS004,9/05/2018,P,1
Corixidae,Micronecta virgata,QH650516,NWS005,10/05/2018,B,1
Corixidae,Micronecta virgata,QH650516,NWS006,10/05/2018,B,1
Corixidae,Micronecta virgata,QH650516,NWS006,10/05/2018,P,1
Veliidae,Microvelia (Picaultia) douglasi,QH560117,NWS003,9/05/2018,P,1
Veliidae,Microvelia (Picaultia) douglasi,QH560117,NWS005,10/05/2018,B,1
Veliidae,Microvelia sp.,QH560199,NWS003,9/05/2018,B,1
Moinidae,Moina sp.,OG070199,NWS001,8/05/2018,B,1
Muscidae,Muscidae,QD899999,NWS001,8/05/2018,B,1
Muscidae,Muscidae,QD899999,NWS003,9/05/2018,P,1
Mytilinidae,Mytilina ventralis macracantha,JP120111,NWS001,8/05/2018,B,1
Mytilinidae,Mytilina ventralis macracantha,JP120111,NWS003,9/05/2018,P,1
Mytilinidae,Mytilina ventralis macracantha,JP120111,NWS005,10/05/2018,P,1
Mytilinidae,Mytilina ventralis macracantha,JP120111,NWS006,10/05/2018,P,1
Naucoridae,Naucoris sp.,QH660199,NWS003,9/05/2018,B,1
Naucoridae,Naucoris subopacus,QH660103,NWS004,9/05/2018,P,1
Naucoridae,Naucoris subopacus,QH660103,NWS004,9/05/2018,B,1
-,Nematoda,II999999,NWS002,8/05/2018,B,1
-,Nematoda,II999999,NWS003,9/05/2018,B,1
-,Nematoda,II999999,NWS006,10/05/2018,B,1
Lesquereusidae,Netzelia corona,BP070202,NWS005,10/05/2018,P,1
Lesquereusidae,Netzelia tuberculata,BP070201,NWS004,9/05/2018,P,1
Lesquereusidae,Netzelia tuberculata,BP070201,NWS005,10/05/2018,P,1
Unionicolidae,Neumania sp.,MM160399,NWS001,8/05/2018,B,1
Unionicolidae,Neumania sp.,MM160399,NWS002,8/05/2018,B,1
Unionicolidae,Neumania sp.,MM160399,NWS003,9/05/2018,B,1
Unionicolidae,Neumania sp.,MM160399,NWS004,9/05/2018,B,1
Unionicolidae,Neumania sp.,MM160399,NWS005,10/05/2018,B,1
Unionicolidae,Neumania sp.,MM160399,NWS005,10/05/2018,P,1
Unionicolidae,Neumania sp.,MM160399,NWS006,10/05/2018,B,1
Ceratopogonidae,Nilobezzzia sp. NWS,QD0920A7,NWS002,8/05/2018,P,1
Ceratopogonidae,Nilobezzzia sp. NWS,QD0920A7,NWS002,8/05/2018,B,1
Ceratopogonidae,Nilobezzzia sp. NWS,QD0920A7,NWS003,9/05/2018,B,1
Ceratopogonidae,Nilobezzzia sp. NWS,QD0920A7,NWS004,9/05/2018,B,1
Notommatidae,Notommata tripus,JP130515,NWS006,10/05/2018,P,1
-,Oribatida sp.,MM9999A1,NWS004,9/05/2018,B,1
Libellulidae,Orthetrum caledonicum,QO171601,NWS001,8/05/2018,B,1
Libellulidae,Orthetrum caledonicum,QO171601,NWS002,8/05/2018,B,1
Libellulidae,Orthetrum caledonicum,QO171601,NWS003,9/05/2018,B,1
Libellulidae,Orthetrum caledonicum,QO171601,NWS004,9/05/2018,B,1
Chironomidae,Parachironomus 'K1' (PSW),QDAI25A2,NWS004,9/05/2018,P,1
Hydrophilidae,Paracymus pygmaeus,QC111601,NWS001,8/05/2018,B,1
Hydrophilidae,Paracymus pygmaeus,QC111601,NWS004,9/05/2018,B,1
Hydrophilidae,Paracymus pygmaeus,QC111601,NWS006,10/05/2018,P,1
Hydrophilidae,Paracymus pygmaeus,QC111601,NWS006,10/05/2018,B,1
Pleidae,Paraplea brunni,QH680101,NWS002,8/05/2018,B,1
Pleidae,Paraplea brunni,QH680101,NWS003,9/05/2018,P,1
Pleidae,Paraplea brunni,QH680101,NWS003,9/05/2018,B,1
Pleidae,Paraplea brunni,QH680101,NWS004,9/05/2018,B,1
Pleidae,Paraplea brunni,QH680101,NWS004,9/05/2018,P,1
Pleidae,Paraplea brunni,QH680101,NWS005,10/05/2018,B,1
Pleidae,Paraplea brunni,QH680101,NWS005,10/05/2018,P,1
Pleidae,Paraplea brunni,QH680101,NWS006,10/05/2018,B,1
Pleidae,Paraplea sp.,QH680199,NWS002,8/05/2018,P,1
Pleidae,Paraplea sp.,QH680199,NWS006,10/05/2018,P,1
Chironomidae,Pentaneurini sp. P1 (PSW),QDAE99A8,NWS002,8/05/2018,B,1
Chironomidae,Pentaneurini sp. P1 (PSW),QDAE99A8,NWS003,9/05/2018,B,1
Chironomidae,Pentaneurini sp. P1 (PSW),QDAE99A8,NWS003,9/05/2018,P,1
Chironomidae,Pentaneurini sp. P1 (PSW),QDAE99A8,NWS004,9/05/2018,B,1
Chironomidae,Pentaneurini sp. P1 (PSW),QDAE99A8,NWS004,9/05/2018,P,1
Chironomidae,Pentaneurini sp. P1 (PSW),QDAE99A8,NWS005,10/05/2018,B,1
Chironomidae,Pentaneurini sp. P1 (PSW),QDAE99A8,NWS005,10/05/2018,P,1
Chironomidae,Pentaneurini sp. P1 (PSW),QDAE99A8,NWS006,10/05/2018,P,1
Chironomidae,Pentaneurini sp. P1 (PSW),QDAE99A8,NWS006,10/05/2018,B,1
Pionidae,Piona sp.,MM170399,NWS003,9/05/2018,P,1
Pionidae,Piona sp.,MM170399,NWS003,9/05/2018,B,1
Pionidae,Piona sp.,MM170399,NWS004,9/05/2018,B,1
Pionidae,Piona sp.,MM170399,NWS005,10/05/2018,B,1
Pionidae,Piona sp.,MM170399,NWS005,10/05/2018,P,1
Brachionidae,Platyias quadricornis,JP020601,NWS004,9/05/2018,P,1
Chironomidae,Polypedilum nr. convexum (PSW),QDAI08B0,NWS001,8/05/2018,B,1
Chironomidae,Polypedilum nr. convexum (PSW),QDAI08B0,NWS001,8/05/2018,P,1
Chironomidae,Polypedilum nr. convexum (PSW),QDAI08B0,NWS002,8/05/2018,B,1
Chironomidae,Polypedilum nr. convexum (PSW),QDAI08B0,NWS002,8/05/2018,P,1
Chironomidae,Polypedilum nr. convexum (PSW),QDAI08B0,NWS003,9/05/2018,B,1
Chironomidae,Polypedilum nr. convexum (PSW),QDAI08B0,NWS003,9/05/2018,P,1
Chironomidae,Polypedilum nr. convexum (PSW),QDAI08B0,NWS004,9/05/2018,B,1
Chironomidae,Polypedilum nr. convexum (PSW),QDAI08B0,NWS004,9/05/2018,P,1
Chironomidae,Polypedilum nr. convexum (PSW),QDAI08B0,NWS005,10/05/2018,B,1
Chironomidae,Polypedilum nr. convexum (PSW),QDAI08B0,NWS005,10/05/2018,P,1
Chironomidae,Polypedilum nr. convexum (PSW),QDAI08B0,NWS006,10/05/2018,P,1
Chironomidae,Polypedilum nr. convexum (PSW),QDAI08B0,NWS006,10/05/2018,B,1
Chironomidae,Polypedilum nubifer,QDAI0804,NWS001,8/05/2018,B,1
Pristinidae,Pristina leidyi,LO150107,NWS002,8/05/2018,P,1
Pristinidae,Pristina longiseta,LO150101,NWS005,10/05/2018,P,1
Pristinidae,Pristina longiseta,LO150101,NWS006,10/05/2018,B,1
Pristinidae,Pristina longiseta,LO150101,NWS006,10/05/2018,P,1
Proalidae,Proales sp.,JP140299,NWS003,9/05/2018,P,1
Chironomidae,Procladius paludicola,QDAE0803,NWS002,8/05/2018,B,1
Chironomidae,Procladius paludicola,QDAE0803,NWS004,9/05/2018,B,1
Coenagrionidae,Pseudagrion microcephalum,QO021104,NWS002,8/05/2018,B,1
Coenagrionidae,Pseudagrion microcephalum,QO021104,NWS004,9/05/2018,B,1
Flosculariidae,Ptygura sp.,JF030599,NWS004,9/05/2018,P,1
Nepidae,Ranatra diminuta,QH610202,NWS005,10/05/2018,B,1
Nepidae,Ranatra sp.,QH610299,NWS002,8/05/2018,B,1
Nepidae,Ranatra sp.,QH610299,NWS003,9/05/2018,P,1
Nepidae,Ranatra sp.,QH610299,NWS003,9/05/2018,B,1
Nepidae,Ranatra sp.,QH610299,NWS004,9/05/2018,P,1
Nepidae,Ranatra sp.,QH610299,NWS004,9/05/2018,B,1
Nepidae,Ranatra sp.,QH610299,NWS005,10/05/2018,P,1
Hydrophilidae,Regimbartia attenuata,QC110701,NWS006,10/05/2018,B,1
Sididae,Sarsilatona papuana,OG010501,NWS005,10/05/2018,P,1
Sididae,Sarsilatona papuana,OG010501,NWS006,10/05/2018,P,1
Scatopsidae,Scatopsidae,QD159999,NWS004,9/05/2018,B,1
Scirtidae,Scirtidae,QC209999,NWS004,9/05/2018,B,1
Scirtidae,Scirtidae,QC209999,NWS006,10/05/2018,P,1
Scirtidae,Scirtidae,QC209999,NWS006,10/05/2018,B,1
Daphniidae,Simocephalus heilongjiangensis,OG040508,NWS003,9/05/2018,P,1
Daphniidae,Simocephalus heilongjiangensis,OG040508,NWS005,10/05/2018,P,1
Hydrophilidae,Spercheus platycephalus,QCAR0103,NWS004,9/05/2018,B,1
Hydrophilidae,Spercheus platycephalus,QCAR0103,NWS005,10/05/2018,B,1
Hydrophilidae,Spercheus platycephalus,QCAR0103,NWS006,10/05/2018,B,1
Hydrophilidae,Spercheus platycephalus,QCAR0103,NWS006,10/05/2018,P,1
Hydrophilidae,Spercheus sp.,QC110399,NWS002,8/05/2018,P,1
Hydrophilidae,Spercheus sp.,QC110399,NWS003,9/05/2018,B,1
Hydrophilidae,Spercheus sp.,QC110399,NWS004,9/05/2018,P,1
Cyprididae,Stenocypris sp. 'nimalarragan',OH0827A0,NWS002,8/05/2018,B,1
Cyprididae,Strandesia/Chlamydotheca gen nov 357,OH0816B0,NWS005,10/05/2018,P,1
Stratiomyidae,Stratiomyidae,QD249999,NWS001,8/05/2018,B,1
Stratiomyidae,Stratiomyidae,QD249999,NWS001,8/05/2018,P,1
Stratiomyidae,Stratiomyidae,QD249999,NWS002,8/05/2018,B,1
Stratiomyidae,Stratiomyidae,QD249999,NWS002,8/05/2018,P,1
Stratiomyidae,Stratiomyidae,QD249999,NWS003,9/05/2018,B,1
Stratiomyidae,Stratiomyidae,QD249999,NWS003,9/05/2018,P,1
Stratiomyidae,Stratiomyidae,QD249999,NWS004,9/05/2018,B,1
Stratiomyidae,Stratiomyidae,QD249999,NWS004,9/05/2018,P,1
Stratiomyidae,Stratiomyidae,QD249999,NWS005,10/05/2018,B,1
Stratiomyidae,Stratiomyidae,QD249999,NWS005,10/05/2018,P,1
Stratiomyidae,Stratiomyidae,QD249999,NWS006,10/05/2018,B,1
Stratiomyidae,Stratiomyidae,QD249999,NWS006,10/05/2018,P,1
Syrphidae,Syrphidae,QD439999,NWS006,10/05/2018,B,1
Tabanidae,Tabanidae,QD239999,NWS001,8/05/2018,B,1
Tabanidae,Tabanidae,QD239999,NWS002,8/05/2018,B,1
Tabanidae,Tabanidae,QD239999,NWS003,9/05/2018,B,1
Tabanidae,Tabanidae,QD239999,NWS006,10/05/2018,B,1
Tabanidae,Tabanidae,QD239999,NWS006,10/05/2018,P,1
Chironomidae,Tanytarsus fuscithorax/semibarbitarsus,QDAH04D8,NWS001,8/05/2018,B,1
Chironomidae,Tanytarsus fuscithorax/semibarbitarsus,QDAH04D8,NWS001,8/05/2018,P,1
Chironomidae,Tanytarsus fuscithorax/semibarbitarsus,QDAH04D8,NWS002,8/05/2018,B,1
Chironomidae,Tanytarsus fuscithorax/semibarbitarsus,QDAH04D8,NWS002,8/05/2018,P,1
Testudinellidae,Testudinella insinuata,JF050202,NWS004,9/05/2018,P,1
Testudinellidae,Testudinella patina,JF050201,NWS002,8/05/2018,P,1
Testudinellidae,Testudinella patina,JF050201,NWS003,9/05/2018,P,1
Testudinellidae,Testudinella patina,JF050201,NWS004,9/05/2018,P,1
Testudinellidae,Testudinella patina,JF050201,NWS005,10/05/2018,P,1
Libellulidae,Tholymis tillarga,QO172301,NWS002,8/05/2018,B,1
Libellulidae,Tholymis tillarga,QO172301,NWS003,9/05/2018,B,1
Libellulidae,Tholymis tillarga,QO172301,NWS004,9/05/2018,B,1
Libellulidae,Tramea sp.,QO172899,NWS001,8/05/2018,B,1
Libellulidae,Tramea sp.,QO172899,NWS002,8/05/2018,B,1
Libellulidae,Tramea stenoloba/loewii,QO1728A0,NWS005,10/05/2018,B,1
Libellulidae,Tramea stenoloba/loewii,QO1728A0,NWS006,10/05/2018,B,1
Euchlanidae,Tripleuchlanis plicata,JP060301,NWS003,9/05/2018,P,1
-,Trombidioidea,MM9999A6,NWS004,9/05/2018,B,1
-,Turbellaria,IF999999,NWS002,8/05/2018,P,1
-,Turbellaria,IF999999,NWS004,9/05/2018,P,1
-,Turbellaria,IF999999,NWS005,10/05/2018,P,1
Culicidae,Uranotaenia albescens,QD071401,NWS005,10/05/2018,B,1
Culicidae,Uranotaenia albescens,QD071401,NWS006,10/05/2018,B,1
Culicidae,Uranotaenia albescens,QD071401,NWS006,10/05/2018,P,1
Darwinulidae,Vestalenula marmonieri,OH050301,NWS002,8/05/2018,B,1
Darwinulidae,Vestalenula marmonieri,OH050301,NWS004,9/05/2018,B,1
Darwinulidae,Vestalenula marmonieri,OH050301,NWS006,10/05/2018,B,1
Libellulidae,Zyxomma elgneri,QO172601,NWS004,9/05/2018,B,1
Libellulidae,Zyxomma elgneri,QO172601,NWS005,10/05/2018,B,1